t,phi,phi',phi'',theta,theta',theta'',alpha,alpha',alpha'',psi,psi',psi'',X,Y,Z
0.0325,4.64321583122849e-17,1.55412775135522e-15,-1.52115850284575e-14,1.57485738775357,0.148340929184379,0.0765256300310659,1.5707963267949,-2.7480355183037e-14,-1.89193955354766e-12,3.87195347258005e-16,1.11237042338806e-13,7.13810815095187e-12,-3.93316308851056e-17,-0.000412604559515101,0
0.03375,4.83628420602925e-17,1.53488880843199e-15,-1.56057141540174e-14,1.57504287443867,0.148438357733547,0.079360980671306,1.5707963267949,-2.98353180531129e-14,-1.89130556069652e-12,5.31802675223961e-16,1.20129068016363e-13,7.13614188279271e-12,-5.40223586309257e-17,-0.00043145004423439,0
0.035,5.02691334481643e-17,1.51511346597018e-15,-1.60470818793397e-14,1.57522848512507,0.148539331636058,0.0821982292977585,1.5707963267949,-3.22086190847783e-14,-1.91068122242626e-12,6.87571326940787e-16,1.29077397045787e-13,7.19563662134648e-12,-6.98458898659301e-17,-0.000450308127509359,0
0.03625,5.21503656366213e-17,1.49477110373364e-15,-1.64836459607488e-14,1.57541422424601,0.148643853306791,0.085037443743674,1.5707963267949,-3.46120211091786e-14,-1.92583006765447e-12,8.54565992896285e-16,1.38118159569729e-13,7.24214808062488e-12,-8.68116672984286e-17,-0.00046917925975323,0
0.0375,5.40058395903902e-17,1.47390435106831e-15,-1.69137447351813e-14,1.57560009623767,0.148751925245417,0.0878786919024543,1.5707963267949,-3.70231942539145e-14,-1.93578329844119e-12,1.03288021494209e-15,1.4718276724735e-13,7.27270051825842e-12,-1.04927072433194e-16,-0.000488063891691296,0
0.03875,5.58348886433072e-17,1.45248674189569e-15,-1.73484366291408e-14,1.57578610553947,0.148863550036547,0.0907220417572407,1.5707963267949,-3.94514793552815e-14,-1.94643687599129e-12,1.22255527408284e-15,1.56299910865375e-13,7.30540385569656e-12,-1.24196953177644e-16,-0.0005069624743717,0
0.04,5.76368351343431e-17,1.43053325949546e-15,-1.75627859201832e-14,1.57597225659417,0.14897873034981,0.0921442506101488,1.5707963267949,-4.18892864438927e-14,-1.95024567088891e-12,1.42364005907513e-15,1.65446276886591e-13,7.31709281697244e-12,-1.44626498766023e-16,-0.000525875459176234,0
0.04,5.76368351343431e-17,1.43053325949546e-15,-1.1198577527376e-14,1.57597225659417,0.14897873034981,0.100809805569035,1.5707963267949,-4.18892864438927e-14,4.91687284163714e-13,1.42364005907513e-15,1.65446276886591e-13,-2.40453283587374e-12,-1.44626498766023e-16,-0.000525875459176234,0
0.04125,5.94162297931355e-17,1.41653503758624e-15,-1.11110260385252e-14,1.576158558394,0.149104742606771,0.102234323532025,1.5707963267949,-4.12746773386881e-14,4.88581882496868e-13,1.62856680911922e-15,1.62440610841749e-13,-2.39500319207475e-12,-1.65445919299496e-16,-0.000544803759708977,0
0.0425,6.11782602342957e-17,1.40275569439915e-15,-1.09479940025488e-14,1.57634501993462,0.14923431615864,0.105084599012351,1.5707963267949,-4.06678317376505e-14,4.78634957557218e-13,1.82975506646996e-15,1.59458768906404e-13,-2.36446802678552e-12,-1.85885083434061e-16,-0.00056374828994058,0
0.04375,6.29231876043952e-17,1.38916505257987e-15,-1.07891418588381e-14,1.57653164566954,0.149367454104302,0.1079373877236,1.5707963267949,-4.0078089944795e-14,4.67988085142293e-13,2.02724608517674e-15,1.56529440774785e-13,-2.33178273029758e-12,-2.05948838835039e-16,-0.000582709502352277,0
0.045,6.46512620183896e-17,1.37578283975205e-15,-1.06045622545359e-14,1.57671844005631,0.149504159627949,0.110792757920286,1.5707963267949,-3.94978615247948e-14,4.66371048187713e-13,2.22108872581828e-15,1.5362931208066e-13,-2.32683305991616e-12,-2.25642374513386e-16,-0.000601687849824275,0
0.04625,6.63627627413317e-17,1.36265364694353e-15,-1.04194040339314e-14,1.57690540755648,0.149644435999103,0.113650777864072,1.5707963267949,-3.89121623243257e-14,4.65454209306649e-13,2.41129971500695e-15,1.50712358124995e-13,-2.32403388958651e-12,-2.44966476544174e-16,-0.000620683785646593,0
0.0475,6.80579795292116e-17,1.34973432966722e-15,-1.02647298335857e-14,1.57709255263561,0.149788286572609,0.116511515898232,1.5707963267949,-3.83342260015282e-14,4.55507807350174e-13,2.59788310101547e-15,1.47819227356694e-13,-2.29349953707147e-12,-2.63921589642057e-16,-0.000639697763529897,0
0.04875,6.97371611246608e-17,1.33699182235956e-15,-1.01144380298788e-14,1.57727987976358,0.149935714788848,0.119375040489722,1.5707963267949,-3.77733928059503e-14,4.44861460590208e-13,2.78088013666291e-15,1.44978609282316e-13,-2.26081507465759e-12,-2.82512561421656e-16,-0.000658730237616349,0
0.05,7.14005444902851e-17,1.32444823459253e-15,-1.00348702136303e-14,1.57746739341468,0.150086724173834,0.120807507988063,1.5707963267949,-3.72220723500527e-14,4.41056364718111e-13,2.96033968123879e-15,1.4216718967005e-13,-2.24913568981283e-12,-3.00744580835986e-16,-0.00067778166249048,0
0.05,7.14005444902851e-17,1.32444823459253e-15,-4.76440107629612e-15,1.57746739341468,0.150086724173834,0.129533645975588,1.5707963267949,-3.72220723500527e-14,1.83620905807944e-12,2.96033968123879e-15,1.4216718967005e-13,-7.78531959344377e-12,-3.00744580835986e-16,-0.00067778166249048,0
